Router,Host,Index,Transporte(Gbps),Status,device_index
ceAGREGADORPolo1_2,10.235.192.53,107,1,-,ceAGREGADORPolo1_2107
ceAGREGADORPolo1_2,10.235.192.53,108,1,-,ceAGREGADORPolo1_2108
ceAGREGADORPolo1_2,10.235.192.53,162,10,-,ceAGREGADORPolo1_2162
ceAGREGADORPolo1_2,10.235.192.53,163,10,-,ceAGREGADORPolo1_2163
ceAGREGADORPolo1_2,10.235.192.53,164,10,-,ceAGREGADORPolo1_2164
ceAGREGADORPolo1_2,10.235.192.53,165,10,-,ceAGREGADORPolo1_2165
ceAGREGADORPolo1_2,10.235.192.53,166,10,-,ceAGREGADORPolo1_2166
ceAGREGADORPolo1_2,10.235.192.53,167,10,-,ceAGREGADORPolo1_2167
ceAGREGADORPolo1_2,10.235.192.53,168,10,-,ceAGREGADORPolo1_2168
ceAGREGADORPolo1_2,10.235.192.53,169,10,-,ceAGREGADORPolo1_2169
ceAGREGADORPolo1_2,10.235.192.53,170,10,-,ceAGREGADORPolo1_2170
ceAGREGADORPolo1_2,10.235.192.53,171,10,-,ceAGREGADORPolo1_2171
ceAGREGADORPolo1_2,10.235.192.53,172,10,-,ceAGREGADORPolo1_2172
ceAGREGADORPolo1_2,10.235.192.53,173,10,-,ceAGREGADORPolo1_2173
ceAGREGADORPolo1_2,10.235.192.53,174,10,-,ceAGREGADORPolo1_2174
ceAGREGADORPolo1_2,10.235.192.53,175,10,-,ceAGREGADORPolo1_2175
ceAGREGADORPolo1_2,10.235.192.53,176,10,-,ceAGREGADORPolo1_2176
ceAGREGADORPolo1_2,10.235.192.53,177,10,-,ceAGREGADORPolo1_2177
ceAGREGADORPolo1_2,10.235.192.53,178,10,-,ceAGREGADORPolo1_2178
ceAGREGADORPolo1_2,10.235.192.53,179,10,-,ceAGREGADORPolo1_2179
ceAGREGADORPolo1_2,10.235.192.53,180,10,-,ceAGREGADORPolo1_2180
ceAGREGADORPolo1_2,10.235.192.53,181,10,-,ceAGREGADORPolo1_2181
ceAGREGADORPolo1_2,10.235.192.53,182,10,-,ceAGREGADORPolo1_2182
ceAGREGADORPolo1_2,10.235.192.53,183,10,-,ceAGREGADORPolo1_2183
ceAGREGADORPolo1_2,10.235.192.53,184,10,-,ceAGREGADORPolo1_2184
nAgregadorPolo1_2,10.235.192.101,438341632,10,-,nAgregadorPolo1_2438341632
nAgregadorPolo1_2,10.235.192.101,438345728,10,-,nAgregadorPolo1_2438345728
