Equipo,Host
nAGREGADORPolo2_1,10.235.193.68
nAGREGADORPolo2_2,10.235.193.69
nDCTIPolo1_1,172.19.203.1
nDCTIPolo1_2,172.19.203.2
nDCTIPolo1_3,172.19.203.3
nDCTIPolo1_4,172.19.203.4
nDMZDCTIPolo1_1,192.168.16.4
nDMZDCTIPolo1_2,192.168.16.5
nDMZPolo1_1,192.168.16.2
nDMZPolo1_2,192.168.16.3
nHeadend_VillaSalvador01,10.235.0.177
nHeadend_VillaSalvador02,10.235.0.178
nIsladeServiciosPolo1,10.235.0.57
nIsladeServiciosVillaSalvador,10.235.0.56
nLANDCPolo2_1,172.26.9.3
nLANDCPolo2_2,172.26.9.4
PIU-CCA-AN01,10.140.9.22
PIU-CCD-AN01,10.140.9.20
PIU-CCD-DN01,10.140.9.19
PIU-CHU-DN01,10.140.9.32
PIU-CTC-AN01,10.253.15.17
PIU-ENA-AN01,10.253.15.56
PIU-HUA-DN01,10.140.9.16
PIU-PAI-AN01,10.140.9.25
PIU-PPR-DN01,10.140.9.24
PIU-SCH-AN01,10.140.9.21
PIU-SLL-AN01,10.140.9.23
PIU-SLL-DN01,10.140.9.26
PIU-SMP-AN01,10.140.9.18
PIU-SMP-DN01,10.140.9.17
PIU-STX-AN01,10.253.15.51
PIU-TLR-AN01,10.140.9.31
qfabric,172.19.212.14
rAGREGADORAeropuerto2,10.235.0.172
rAGREGADORAviacion,10.235.0.126
rAGREGADORCallao2,10.235.0.175
rAGREGADORCamacho2,10.235.0.128
rAGREGADORChinchon,10.235.0.91
rAGREGADORChorrillos,10.235.0.182
rAGREGADORHiguereta2,10.235.0.125
rAGREGADORLaMolina,10.235.0.129
rAGREGADORMonterrico,10.235.0.127
rAGREGADOROcharan,10.235.0.147
rAGREGADORSanFelipe2,10.235.0.173
rAGREGADORSanJuan,10.235.0.181
rAGREGADORSanMiguel2,10.235.0.174
rAGREGADORSantaAnita,10.235.0.130
rAGREGADORSatelital3,10.235.148.6
rAGREGADORVentanilla,10.235.0.169
rAGREGADORVillaSalvador,10.235.0.176
rAGREGADORVillaSalvador2,10.235.0.180
rAGREGADORZarate2,10.235.0.69
rCorePolo1_1,10.235.0.83
rCorePolo1_2,10.235.0.84
rCoreVillaSalvador,10.235.0.85
rCoreVillaSalvador2,10.235.0.88
rCSRAcomayo,10.253.19.149
rCSRAntabamba,10.253.19.153
rCSRBolivarTrujillo,10.134.1.208
rCSRCajatambo,10.253.5.91
rCSRCandarave,10.134.32.164
rCSRCaraveli,10.134.33.84
rCSRCastrovirreyna,10.253.17.169
rCSRChalhuanca,10.253.19.151
rCSRChuquibambilla,10.253.19.152
rCSRCoraCora,10.253.17.184
rCSRCotahuasiHuaynacotas,10.134.33.83
rCSRElOnur,10.134.1.209
rCSRHuacrachuco,10.253.27.174
rCSRHuancaSancos,10.253.17.185
rCSRHuaytara,10.253.17.186
rCSRInhapari,10.253.20.75
rCSRManchay2,10.191.4.52
rCSRMatarani,10.134.34.208
